"line","lyric","element","element_artist"
1,"If you would've blinked then I would've looked away at the first glance","Verse 1","Taylor Swift"
2,"If you tasted poison you could've spit me out at the first chance","Verse 1","Taylor Swift"
3,"And if I was some paint, did it splatter on a promising grown man?","Verse 1","Taylor Swift"
4,"And if I was a child did it matter if you got to wash your hands?","Verse 1","Taylor Swift"
5,"Ooh, ooh, ooh","Pre-Chorus","Taylor Swift"
6,"All I used to do was pray","Pre-Chorus","Taylor Swift"
7,"Would've, could've, should've","Pre-Chorus","Taylor Swift"
8,"If you never looked my way","Pre-Chorus","Taylor Swift"
9,"I would've stayed on my knees","Pre-Chorus","Taylor Swift"
10,"And I damn sure would've never danced with the devil","Chorus","Taylor Swift"
11,"At 19, and the God's honest truth is that the pain was heaven","Chorus","Taylor Swift"
12,"And now that I'm grown, I'm scared of ghosts","Chorus","Taylor Swift"
13,"Memories feel like weapons","Chorus","Taylor Swift"
14,"And now that I know, I wish you left me wondering","Chorus","Taylor Swift"
15,"If you never touched me, I would've gone along with the righteous","Verse 2","Taylor Swift"
16,"If I never blushed, then they could've never whispered about this","Verse 2","Taylor Swift"
17,"And if you never saved me from boredom, I could've gone on as I was","Verse 2","Taylor Swift"
18,"But lord you made me feel important, and then you tried to erase us","Verse 2","Taylor Swift"
19,"Ooh, ooh, ooh","Pre-Chorus","Taylor Swift"
20,"You're a crisis of my faith","Pre-Chorus","Taylor Swift"
21,"Would've, could've, should've","Pre-Chorus","Taylor Swift"
22,"If I'd only played it safe","Pre-Chorus","Taylor Swift"
23,"I would've stayed on my knees","Pre-Chorus","Taylor Swift"
24,"And I damn sure would've never danced with the devil","Chorus","Taylor Swift"
25,"At 19, and the God's honest truth is that the pain was heaven","Chorus","Taylor Swift"
26,"And now that I'm grown, I'm scared of ghosts","Chorus","Taylor Swift"
27,"Memories feel like weapons","Chorus","Taylor Swift"
28,"And now that I know, I wish you left me wondering","Chorus","Taylor Swift"
29,"God rest my soul","Bridge","Taylor Swift"
30,"I miss who I used to be","Bridge","Taylor Swift"
31,"The tomb won't close","Bridge","Taylor Swift"
32,"Stained glass windows in my mind","Bridge","Taylor Swift"
33,"I regret you all the time","Bridge","Taylor Swift"
34,"I can't let this go, I fight with you in my sleep","Bridge","Taylor Swift"
35,"The wound won't close","Bridge","Taylor Swift"
36,"I keep on waiting for a sign","Bridge","Taylor Swift"
37,"I regret you all the time","Bridge","Taylor Swift"
38,"If clarity's in death, then why won't this die?","Verse 3","Taylor Swift"
39,"Years of tearing down our banners, you and I","Verse 3","Taylor Swift"
40,"Living for the thrill of hitting you where it hurts","Verse 3","Taylor Swift"
41,"Give me back my girlhood, it was mine first","Verse 3","Taylor Swift"
42,"And I damn sure would've never danced with the devil","Chorus","Taylor Swift"
43,"At 19, and the God's honest truth is that the pain was heaven","Chorus","Taylor Swift"
44,"And now that I'm grown, I'm scared of ghosts","Chorus","Taylor Swift"
45,"Memories feel like weapons","Chorus","Taylor Swift"
46,"And now that I know, I wish you left me wondering","Chorus","Taylor Swift"
47,"God rest my soul","Outro","Taylor Swift"
48,"I miss who I used to be","Outro","Taylor Swift"
49,"The tomb won't close","Outro","Taylor Swift"
50,"Stained glass windows in my mind","Outro","Taylor Swift"
51,"I regret you all the time","Outro","Taylor Swift"
52,"I can't let this go, I fight with you in my sleep","Outro","Taylor Swift"
53,"The wound won't close","Outro","Taylor Swift"
54,"I keep on waiting for a sign","Outro","Taylor Swift"
55,"I regret you all the time","Outro","Taylor Swift"
56,"Oh God, rest my soul","Outro","Taylor Swift"
57,"I miss who I used to be","Outro","Taylor Swift"
58,"The tomb won't close","Outro","Taylor Swift"
59,"Stained glass windows in my mind","Outro","Taylor Swift"
60,"I regret you all the time","Outro","Taylor Swift"
61,"I can't let this go, I fight with you in my sleep","Outro","Taylor Swift"
62,"The wound won't close","Outro","Taylor Swift"
63,"I keep on waiting for a sign","Outro","Taylor Swift"
64,"I regret you all the time","Outro","Taylor Swift"
