"line","lyric","element","element_artist"
1,"Once the last drop of rain has dried off the pavement","Verse 1","Taylor Swift"
2,"Shouldn't I find a stain, but I never do","Verse 1","Taylor Swift"
3,"The way the tires turn stones on old county roads","Verse 1","Taylor Swift"
4,"They leave 'em muddy underneath, reminds me of you","Verse 1","Taylor Swift"
5,"You find graffiti on the walls of old bathroom stalls","Verse 1","Taylor Swift"
6,"You know, you can scratch it right off, it's how it used to be","Verse 1","Taylor Swift"
7,"But like the dollar in your pocket, it's been spent and traded in","Verse 1","Taylor Swift"
8,"You can't change where it's been, reminds me of me","Verse 1","Taylor Swift"
9,"I lived, and I learned, had you, got burned","Chorus","Taylor Swift"
10,"Held out, and held on","Chorus","Taylor Swift"
11,"God knows, too long, and wasted time","Chorus","Taylor Swift"
12,"Lost tears, swore that I'd get out of here","Chorus","Taylor Swift"
13,"But no amount of freedom gets you clean","Chorus","Taylor Swift"
14,"I've still got you all over me","Chorus","Taylor Swift"
15,"The best and worst day of June","Verse 2","Taylor Swift"
16,"Was the one that I met you","Verse 2","Taylor Swift"
17,"With your hands in your pockets","Verse 2","Taylor Swift"
18,"And your ""Don't you wish you had me?"" grin","Verse 2","Taylor Swift"
19,"Well I did, so I smiled","Verse 2","Taylor Swift"
20,"And I melted like a child","Verse 2","Taylor Swift"
21,"Now every breath of air I breathe reminds me of then","Verse 2","Taylor Swift"
22,"And I lived, and I learned, had you, got burned","Chorus","Taylor Swift"
23,"Held out, and held on","Chorus","Taylor Swift"
24,"God knows, too long, and wasted time","Chorus","Taylor Swift"
25,"Lost tears, swore that I'd get out of here","Chorus","Taylor Swift"
26,"But no amount of freedom gets you clean","Chorus","Taylor Swift"
27,"I've still got you all over me","Chorus","Taylor Swift"
28,"I lived, and I learned","Bridge","Taylor Swift"
29,"And found out what it was to turn around","Bridge","Taylor Swift"
30,"And see that we","Bridge","Taylor Swift"
31,"Were never really meant to be","Bridge","Taylor Swift"
32,"So I lied, and I cried","Bridge","Taylor Swift"
33,"And I watched a part of myself die","Bridge","Taylor Swift"
34,"'Cause no amount of freedom gets you clean","Bridge","Taylor Swift"
35,"I've still got you all over me","Bridge","Taylor Swift"
36,"I've still got you all over me","Outro","Taylor Swift"
37,"Still got you all over me","Outro","Taylor Swift"
