"line","lyric","element","element_artist"
1,"You are somebody that I don't know","Verse 1","Taylor Swift"
2,"But you're takin' shots at me like it's Patrón","Verse 1","Taylor Swift"
3,"And I'm just like, damn, it's 7 AM","Verse 1","Taylor Swift"
4,"Say it in the street, that's a knock-out","Verse 1","Taylor Swift"
5,"But you say it in a Tweet, that's a cop-out","Verse 1","Taylor Swift"
6,"And I'm just like, ""Hey, are you okay?""","Verse 1","Taylor Swift"
7,"And I ain't tryna mess with your self-expression","Pre-Chorus","Taylor Swift"
8,"But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun","Pre-Chorus","Taylor Swift"
9,"And snakes and stones never broke my bones","Pre-Chorus","Taylor Swift"
10,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh","Chorus","Taylor Swift"
11,"You need to calm down, you're being too loud","Chorus","Taylor Swift"
12,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)","Chorus","Taylor Swift"
13,"You need to just stop, like can you just not step on my gown?","Chorus","Taylor Swift"
14,"You need to calm down","Chorus","Taylor Swift"
15,"You are somebody that we don't know","Verse 2","Taylor Swift"
16,"But you're comin' at my friends like a missile","Verse 2","Taylor Swift"
17,"Why are you mad when you could be GLAAD? (You could be GLAAD)","Verse 2","Taylor Swift"
18,"Sunshine on the street at the parade","Verse 2","Taylor Swift"
19,"But you would rather be in the dark ages","Verse 2","Taylor Swift"
20,"Makin' that sign must've taken all night","Verse 2","Taylor Swift"
21,"You just need to take several seats and then try to restore the peace","Pre-Chorus","Taylor Swift"
22,"And control your urges to scream about all the people you hate","Pre-Chorus","Taylor Swift"
23,"'Cause shade never made anybody less gay","Pre-Chorus","Taylor Swift"
24,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh","Chorus","Taylor Swift"
25,"You need to calm down, you're being too loud","Chorus","Taylor Swift"
26,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)","Chorus","Taylor Swift"
27,"You need to just stop, like can you just not step on his gown?","Chorus","Taylor Swift"
28,"You need to calm down","Chorus","Taylor Swift"
29,"And we see you over there on the internet","Bridge","Taylor Swift"
30,"Comparing all the girls who are killing it","Bridge","Taylor Swift"
31,"But we figured you out","Bridge","Taylor Swift"
32,"We all know now we all got crowns","Bridge","Taylor Swift"
33,"You need to calm down","Bridge","Taylor Swift"
34,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh","Chorus","Taylor Swift"
35,"You need to calm down (You need to calm down)","Chorus","Taylor Swift"
36,"You're being too loud (You're being too loud)","Chorus","Taylor Swift"
37,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)","Chorus","Taylor Swift"
38,"You need to just stop (Can you stop?)","Chorus","Taylor Swift"
39,"Like can you just not step on our gowns?","Chorus","Taylor Swift"
40,"You need to calm down","Chorus","Taylor Swift"
