"line","lyric","element","element_artist"
1,"You say, ""I don't understand"" and I say, ""I know you don't""","Verse 1","Taylor Swift"
2,"We thought a cure would come through in time, now, I fear it won't","Verse 1","Taylor Swift"
3,"Remember lookin' at this room, we loved it 'cause of the light","Verse 1","Taylor Swift"
4,"Now, I just sit in the dark and wonder if it's time","Verse 1","Taylor Swift"
5,"Do I throw out everything we built or keep it?","Pre-Chorus","Taylor Swift"
6,"I'm getting tired even for a phoenix","Pre-Chorus","Taylor Swift"
7,"Always risin' from the ashes","Pre-Chorus","Taylor Swift"
8,"Mendin' all her gashes","Pre-Chorus","Taylor Swift"
9,"You might just have dealt the final blow","Pre-Chorus","Taylor Swift"
10,"Stop, you're losing me","Chorus","Taylor Swift"
11,"Stop, you're losing me","Chorus","Taylor Swift"
12,"Stop, you're losing me","Chorus","Taylor Swift"
13,"I can't find a pulse","Chorus","Taylor Swift"
14,"My heart won't start anymore for you","Chorus","Taylor Swift"
15,"'Cause you're losing me","Chorus","Taylor Swift"
16,"Every mornin', I glared at you with storms in my eyes","Verse 2","Taylor Swift"
17,"How can you say that you love someone you can't tell is dyin'?","Verse 2","Taylor Swift"
18,"I sent you signals and bit my nails down to the quick","Verse 2","Taylor Swift"
19,"My face was gray, but you wouldn't admit that we were sick","Verse 2","Taylor Swift"
20,"And the air is thick with loss and indecision","Pre-Chorus","Taylor Swift"
21,"I know my pain is such an imposition","Pre-Chorus","Taylor Swift"
22,"Now, you're running down the hallway","Pre-Chorus","Taylor Swift"
23,"And you know what they all say","Pre-Chorus","Taylor Swift"
24,"""You don't know what you got until it's gone""","Pre-Chorus","Taylor Swift"
25,"Stop, you're losing me","Chorus","Taylor Swift"
26,"Stop, you're losing me","Chorus","Taylor Swift"
27,"Stop, you're losing me","Chorus","Taylor Swift"
28,"I can't find a pulse","Chorus","Taylor Swift"
29,"My heart won't start anymore for you","Chorus","Taylor Swift"
30,"'Cause you're losing me","Chorus","Taylor Swift"
31,"'Cause you're losing me","Chorus","Taylor Swift"
32,"Stop (Stop) 'cause you're losing me","Chorus","Taylor Swift"
33,"My heart won't start anymore (Stop 'cause you're losing me)","Post-Chorus","Taylor Swift"
34,"My heart won't start anymore (Stop 'cause you're losing me)","Post-Chorus","Taylor Swift"
35,"How long could we be a sad song","Bridge","Taylor Swift"
36,"'Til we were too far gone to bring back to life?","Bridge","Taylor Swift"
37,"I gave you all my best me's, my endless empathy","Bridge","Taylor Swift"
38,"And all I did was bleed as I tried to be the bravest soldier","Bridge","Taylor Swift"
39,"Fighting in only your army, frontlines, don't you ignore me","Bridge","Taylor Swift"
40,"I'm the best thing at this party (You're losing me)","Bridge","Taylor Swift"
41,"And I wouldn't marry me either","Bridge","Taylor Swift"
42,"A pathological people pleaser","Bridge","Taylor Swift"
43,"Who only wanted you to see her","Bridge","Taylor Swift"
44,"And I'm fading, thinkin'","Bridge","Taylor Swift"
45,"""Do something, babe, say something"" (Say something)","Bridge","Taylor Swift"
46,"""Lose something, babe, risk something"" (You're losing me)","Bridge","Taylor Swift"
47,"""Choose something, babe, I got nothing"" (I got nothing)","Bridge","Taylor Swift"
48,"""To believe, unless you're choosing me""","Bridge","Taylor Swift"
49,"You're losing me","Outro","Taylor Swift"
50,"Stop (Stop, stop), you're losing me","Outro","Taylor Swift"
51,"Stop (Stop, stop), you're losing me","Outro","Taylor Swift"
52,"I can't find a pulse, my heart won't start anymore","Outro","Taylor Swift"
